Sample,Species,Flipper_Length_mm,Body_Mass_g,Gender,Individual_ID,Region,Island
1,Adelie,181,3750,MALE,N1A1,Anvers,Torgersen
6,Adelie,190,3650,MALE,N3A2,Anvers,Torgersen
8,Adelie,195,4675,MALE,N4A2,Anvers,Torgersen
14,Adelie,191,3800,MALE,N7A2,Anvers,Torgersen
15,Adelie,198,4400,MALE,N8A1,Anvers,Torgersen
18,Adelie,197,4500,MALE,N9A2,Anvers,Torgersen
20,Adelie,194,4200,MALE,N10A2,Anvers,Torgersen
22,Adelie,180,3600,MALE,N11A2,Anvers,Biscoe
24,Adelie,185,3950,MALE,N12A2,Anvers,Biscoe
25,Adelie,180,3800,MALE,N13A1,Anvers,Biscoe
27,Adelie,183,3550,MALE,N17A1,Anvers,Biscoe
30,Adelie,180,3950,MALE,N18A2,Anvers,Biscoe
32,Adelie,178,3900,MALE,N21A2,Anvers,Dream
34,Adelie,184,3900,MALE,N22A2,Anvers,Dream
36,Adelie,196,4150,MALE,N23A2,Anvers,Dream
37,Adelie,190,3950,MALE,N24A1,Anvers,Dream
40,Adelie,184,4650,MALE,N25A2,Anvers,Dream
42,Adelie,195,3900,MALE,N26A2,Anvers,Dream
44,Adelie,196,4400,MALE,N27A2,Anvers,Dream
46,Adelie,190,4600,MALE,N28A2,Anvers,Dream
47,Adelie,182,3425,MALE,N29A1,Anvers,Dream
48,Adelie,179,2975,MALE,N29A2,Anvers,Dream
50,Adelie,191,4150,MALE,N30A2,Anvers,Dream
52,Adelie,188,4300,MALE,N21A2,Anvers,Biscoe
54,Adelie,200,4050,MALE,N22A2,Anvers,Biscoe
56,Adelie,191,3700,MALE,N23A2,Anvers,Biscoe
58,Adelie,193,3800,MALE,N24A2,Anvers,Biscoe
60,Adelie,194,3750,MALE,N25A2,Anvers,Biscoe
62,Adelie,195,4400,MALE,N27A2,Anvers,Biscoe
64,Adelie,192,4050,MALE,N28A2,Anvers,Biscoe
66,Adelie,192,3950,MALE,N29A2,Anvers,Biscoe
68,Adelie,188,4100,MALE,N30A2,Anvers,Biscoe
70,Adelie,198,4450,MALE,N32A2,Anvers,Torgersen
72,Adelie,190,3900,MALE,N34A2,Anvers,Torgersen
74,Adelie,197,4150,MALE,N35A2,Anvers,Torgersen
76,Adelie,195,4250,MALE,N36A2,Anvers,Torgersen
78,Adelie,184,3900,MALE,N37A2,Anvers,Torgersen
80,Adelie,195,4000,MALE,N38A2,Anvers,Torgersen
82,Adelie,196,4700,MALE,N39A2,Anvers,Torgersen
84,Adelie,193,4200,MALE,N40A2,Anvers,Torgersen
86,Adelie,194,3550,MALE,N41A2,Anvers,Dream
87,Adelie,190,3800,MALE,N42A1,Anvers,Dream
89,Adelie,189,3950,MALE,N44A1,Anvers,Dream
92,Adelie,205,4300,MALE,N45A2,Anvers,Dream
94,Adelie,186,4450,MALE,N46A2,Anvers,Dream
96,Adelie,208,4300,MALE,N48A2,Anvers,Dream
98,Adelie,196,4350,MALE,N49A2,Anvers,Dream
100,Adelie,192,4100,MALE,N50A2,Anvers,Dream
102,Adelie,203,4725,MALE,N47A2,Anvers,Biscoe
104,Adelie,190,4250,MALE,N49A2,Anvers,Biscoe
106,Adelie,184,3550,MALE,N51A2,Anvers,Biscoe
108,Adelie,190,3900,MALE,N53A2,Anvers,Biscoe
110,Adelie,197,4775,MALE,N55A2,Anvers,Biscoe
112,Adelie,191,4600,MALE,N58A2,Anvers,Biscoe
114,Adelie,197,4275,MALE,N60A2,Anvers,Biscoe
116,Adelie,196,4075,MALE,N61A2,Anvers,Biscoe
118,Adelie,199,3775,MALE,N63A2,Anvers,Torgersen
120,Adelie,189,3325,MALE,N64A2,Anvers,Torgersen
122,Adelie,198,3500,MALE,N66A2,Anvers,Torgersen
124,Adelie,202,3875,MALE,N67A2,Anvers,Torgersen
126,Adelie,199,4000,MALE,N69A2,Anvers,Torgersen
128,Adelie,195,4300,MALE,N71A2,Anvers,Torgersen
130,Adelie,210,4000,MALE,N72A2,Anvers,Torgersen
132,Adelie,197,3500,MALE,N73A2,Anvers,Torgersen
134,Adelie,199,4475,MALE,N76A2,Anvers,Dream
136,Adelie,190,3900,MALE,N77A2,Anvers,Dream
138,Adelie,200,3975,MALE,N78A2,Anvers,Dream
140,Adelie,193,4250,MALE,N79A2,Anvers,Dream
142,Adelie,187,3475,MALE,N80A2,Anvers,Dream
144,Adelie,190,3725,MALE,N81A2,Anvers,Dream
146,Adelie,185,3650,MALE,N82A2,Anvers,Dream
147,Adelie,190,4250,MALE,N83A1,Anvers,Dream
150,Adelie,193,3750,MALE,N84A2,Anvers,Dream
152,Adelie,201,4000,MALE,N85A2,Anvers,Dream
2,Adelie,186,3800,FEMALE,N1A2,Anvers,Torgersen
3,Adelie,195,3250,FEMALE,N2A1,Anvers,Torgersen
4,Adelie,195,3250,FEMALE,N2A2,Anvers,Torgersen
5,Adelie,193,3450,FEMALE,N3A1,Anvers,Torgersen
7,Adelie,181,3625,FEMALE,N4A1,Anvers,Torgersen
9,Adelie,193,3475,FEMALE,N5A1,Anvers,Torgersen
10,Adelie,190,4250,FEMALE,N5A2,Anvers,Torgersen
11,Adelie,186,3300,FEMALE,N6A1,Anvers,Torgersen
12,Adelie,180,3700,FEMALE,N6A2,Anvers,Torgersen
13,Adelie,182,3200,FEMALE,N7A1,Anvers,Torgersen
16,Adelie,185,3700,FEMALE,N8A2,Anvers,Torgersen
17,Adelie,195,3450,FEMALE,N9A1,Anvers,Torgersen
19,Adelie,184,3325,FEMALE,N10A1,Anvers,Torgersen
21,Adelie,174,3400,FEMALE,N11A1,Anvers,Biscoe
23,Adelie,189,3800,FEMALE,N12A1,Anvers,Biscoe
26,Adelie,187,3800,FEMALE,N13A2,Anvers,Biscoe
28,Adelie,187,3200,FEMALE,N17A2,Anvers,Biscoe
29,Adelie,172,3150,FEMALE,N18A1,Anvers,Biscoe
31,Adelie,178,3250,FEMALE,N21A1,Anvers,Dream
33,Adelie,188,3300,FEMALE,N22A1,Anvers,Dream
35,Adelie,195,3325,FEMALE,N23A1,Anvers,Dream
38,Adelie,180,3550,FEMALE,N24A2,Anvers,Dream
39,Adelie,181,3300,FEMALE,N25A1,Anvers,Dream
41,Adelie,182,3150,FEMALE,N26A1,Anvers,Dream
43,Adelie,186,3100,FEMALE,N27A1,Anvers,Dream
45,Adelie,185,3000,FEMALE,N28A1,Anvers,Dream
49,Adelie,190,3450,FEMALE,N30A1,Anvers,Dream
51,Adelie,186,3500,FEMALE,N21A1,Anvers,Biscoe
53,Adelie,190,3450,FEMALE,N22A1,Anvers,Biscoe
55,Adelie,187,2900,FEMALE,N23A1,Anvers,Biscoe
57,Adelie,186,3550,FEMALE,N24A1,Anvers,Biscoe
59,Adelie,181,2850,FEMALE,N25A1,Anvers,Biscoe
61,Adelie,185,3150,FEMALE,N27A1,Anvers,Biscoe
63,Adelie,185,3600,FEMALE,N28A1,Anvers,Biscoe
65,Adelie,184,2850,FEMALE,N29A1,Anvers,Biscoe
67,Adelie,195,3350,FEMALE,N30A1,Anvers,Biscoe
69,Adelie,190,3050,FEMALE,N32A1,Anvers,Torgersen
71,Adelie,190,3600,FEMALE,N34A1,Anvers,Torgersen
73,Adelie,196,3550,FEMALE,N35A1,Anvers,Torgersen
75,Adelie,190,3700,FEMALE,N36A1,Anvers,Torgersen
77,Adelie,191,3700,FEMALE,N37A1,Anvers,Torgersen
79,Adelie,187,3550,FEMALE,N38A1,Anvers,Torgersen
81,Adelie,189,3200,FEMALE,N39A1,Anvers,Torgersen
83,Adelie,187,3800,FEMALE,N40A1,Anvers,Torgersen
85,Adelie,191,3350,FEMALE,N41A1,Anvers,Dream
88,Adelie,189,3500,FEMALE,N42A2,Anvers,Dream
90,Adelie,190,3600,FEMALE,N44A2,Anvers,Dream
91,Adelie,202,3550,FEMALE,N45A1,Anvers,Dream
93,Adelie,185,3400,FEMALE,N46A1,Anvers,Dream
95,Adelie,187,3300,FEMALE,N48A1,Anvers,Dream
97,Adelie,190,3700,FEMALE,N49A1,Anvers,Dream
99,Adelie,178,2900,FEMALE,N50A1,Anvers,Dream
101,Adelie,192,3725,FEMALE,N47A1,Anvers,Biscoe
103,Adelie,183,3075,FEMALE,N49A1,Anvers,Biscoe
105,Adelie,193,2925,FEMALE,N51A1,Anvers,Biscoe
107,Adelie,199,3750,FEMALE,N53A1,Anvers,Biscoe
109,Adelie,181,3175,FEMALE,N55A1,Anvers,Biscoe
111,Adelie,198,3825,FEMALE,N58A1,Anvers,Biscoe
113,Adelie,193,3200,FEMALE,N60A1,Anvers,Biscoe
115,Adelie,191,3900,FEMALE,N61A1,Anvers,Biscoe
117,Adelie,188,2900,FEMALE,N63A1,Anvers,Torgersen
119,Adelie,189,3350,FEMALE,N64A1,Anvers,Torgersen
121,Adelie,187,3150,FEMALE,N66A1,Anvers,Torgersen
123,Adelie,176,3450,FEMALE,N67A1,Anvers,Torgersen
125,Adelie,186,3050,FEMALE,N69A1,Anvers,Torgersen
127,Adelie,191,3275,FEMALE,N71A1,Anvers,Torgersen
129,Adelie,191,3050,FEMALE,N72A1,Anvers,Torgersen
131,Adelie,190,3325,FEMALE,N73A1,Anvers,Torgersen
133,Adelie,193,3500,FEMALE,N76A1,Anvers,Dream
135,Adelie,187,3425,FEMALE,N77A1,Anvers,Dream
137,Adelie,191,3175,FEMALE,N78A1,Anvers,Dream
139,Adelie,185,3400,FEMALE,N79A1,Anvers,Dream
141,Adelie,193,3400,FEMALE,N80A1,Anvers,Dream
143,Adelie,188,3050,FEMALE,N81A1,Anvers,Dream
145,Adelie,192,3000,FEMALE,N82A1,Anvers,Dream
148,Adelie,184,3475,FEMALE,N83A2,Anvers,Dream
149,Adelie,195,3450,FEMALE,N84A1,Anvers,Dream
151,Adelie,187,3700,FEMALE,N85A1,Anvers,Dream
1,Chinstrap,192,3500,FEMALE,N61A1,Anvers,Dream
4,Chinstrap,188,3525,FEMALE,N62A2,Anvers,Dream
6,Chinstrap,198,3950,FEMALE,N64A2,Anvers,Dream
7,Chinstrap,178,3250,FEMALE,N66A1,Anvers,Dream
9,Chinstrap,195,4150,FEMALE,N67A1,Anvers,Dream
11,Chinstrap,193,3800,FEMALE,N68A1,Anvers,Dream
13,Chinstrap,185,3700,FEMALE,N69A1,Anvers,Dream
15,Chinstrap,190,3575,FEMALE,N70A1,Anvers,Dream
18,Chinstrap,181,3700,FEMALE,N71A2,Anvers,Dream
19,Chinstrap,190,3450,FEMALE,N72A1,Anvers,Dream
21,Chinstrap,181,3600,FEMALE,N73A1,Anvers,Dream
23,Chinstrap,187,2900,FEMALE,N85A1,Anvers,Dream
25,Chinstrap,195,3300,FEMALE,N89A1,Anvers,Dream
27,Chinstrap,200,3400,FEMALE,N61A1,Anvers,Dream
29,Chinstrap,191,3700,FEMALE,N62A1,Anvers,Dream
31,Chinstrap,187,3200,FEMALE,N63A1,Anvers,Dream
33,Chinstrap,187,3350,FEMALE,N65A1,Anvers,Dream
36,Chinstrap,199,3900,FEMALE,N67A2,Anvers,Dream
37,Chinstrap,195,3850,FEMALE,N69A1,Anvers,Dream
39,Chinstrap,192,2700,FEMALE,N72A1,Anvers,Dream
42,Chinstrap,187,3650,FEMALE,N74A2,Anvers,Dream
44,Chinstrap,196,3500,FEMALE,N75A2,Anvers,Dream
45,Chinstrap,196,3675,FEMALE,N86A1,Anvers,Dream
47,Chinstrap,190,3400,FEMALE,N87A1,Anvers,Dream
50,Chinstrap,198,3675,FEMALE,N88A2,Anvers,Dream
51,Chinstrap,199,3325,FEMALE,N90A1,Anvers,Dream
53,Chinstrap,193,3600,FEMALE,N92A1,Anvers,Dream
55,Chinstrap,187,3350,FEMALE,N93A1,Anvers,Dream
57,Chinstrap,191,3250,FEMALE,N94A1,Anvers,Dream
60,Chinstrap,194,3525,FEMALE,N95A2,Anvers,Dream
62,Chinstrap,189,3650,FEMALE,N96A2,Anvers,Dream
63,Chinstrap,195,3650,FEMALE,N98A1,Anvers,Dream
65,Chinstrap,202,3400,FEMALE,N99A1,Anvers,Dream
68,Chinstrap,198,3775,FEMALE,N100A2,Anvers,Dream
2,Chinstrap,196,3900,FEMALE,N61A2,Anvers,Dream
3,Chinstrap,193,3650,FEMALE,N62A1,Anvers,Dream
5,Chinstrap,197,3725,FEMALE,N64A1,Anvers,Dream
8,Chinstrap,197,3750,FEMALE,N66A2,Anvers,Dream
10,Chinstrap,198,3700,FEMALE,N67A2,Anvers,Dream
12,Chinstrap,194,3775,FEMALE,N68A2,Anvers,Dream
14,Chinstrap,201,4050,FEMALE,N69A2,Anvers,Dream
16,Chinstrap,201,4050,FEMALE,N70A2,Anvers,Dream
17,Chinstrap,197,3300,FEMALE,N71A1,Anvers,Dream
20,Chinstrap,195,4400,FEMALE,N72A2,Anvers,Dream
22,Chinstrap,191,3400,FEMALE,N73A2,Anvers,Dream
24,Chinstrap,193,3800,FEMALE,N85A2,Anvers,Dream
26,Chinstrap,197,4150,FEMALE,N89A2,Anvers,Dream
28,Chinstrap,200,3800,FEMALE,N61A2,Anvers,Dream
30,Chinstrap,205,4550,FEMALE,N62A2,Anvers,Dream
32,Chinstrap,201,4300,FEMALE,N63A2,Anvers,Dream
34,Chinstrap,203,4100,FEMALE,N65A2,Anvers,Dream
35,Chinstrap,195,3600,FEMALE,N67A1,Anvers,Dream
38,Chinstrap,210,4800,FEMALE,N69A2,Anvers,Dream
40,Chinstrap,205,4500,FEMALE,N72A2,Anvers,Dream
41,Chinstrap,210,3950,FEMALE,N74A1,Anvers,Dream
43,Chinstrap,196,3550,FEMALE,N75A1,Anvers,Dream
46,Chinstrap,201,4450,FEMALE,N86A2,Anvers,Dream
48,Chinstrap,212,4300,FEMALE,N87A2,Anvers,Dream
49,Chinstrap,187,3250,FEMALE,N88A1,Anvers,Dream
52,Chinstrap,201,3950,FEMALE,N90A2,Anvers,Dream
54,Chinstrap,203,4050,FEMALE,N92A2,Anvers,Dream
56,Chinstrap,197,3450,FEMALE,N93A2,Anvers,Dream
58,Chinstrap,203,4050,FEMALE,N94A2,Anvers,Dream
59,Chinstrap,202,3800,FEMALE,N95A1,Anvers,Dream
61,Chinstrap,206,3950,FEMALE,N96A1,Anvers,Dream
64,Chinstrap,207,4000,FEMALE,N98A2,Anvers,Dream
66,Chinstrap,193,3775,FEMALE,N99A2,Anvers,Dream
67,Chinstrap,210,4100,FEMALE,N100A1,Anvers,Dream
1,Gentoo,211,4500,FEMALE,N31A1,Anvers,Biscoe
3,Gentoo,210,4450,FEMALE,N32A1,Anvers,Biscoe
6,Gentoo,210,4550,FEMALE,N33A2,Anvers,Biscoe
7,Gentoo,211,4800,FEMALE,N34A1,Anvers,Biscoe
9,Gentoo,209,4400,FEMALE,N35A1,Anvers,Biscoe
11,Gentoo,214,4650,FEMALE,N36A1,Anvers,Biscoe
13,Gentoo,214,4650,FEMALE,N37A1,Anvers,Biscoe
15,Gentoo,210,4200,FEMALE,N38A1,Anvers,Biscoe
17,Gentoo,210,4150,FEMALE,N39A1,Anvers,Biscoe
19,Gentoo,209,4800,FEMALE,N40A1,Anvers,Biscoe
22,Gentoo,215,5000,FEMALE,N41A2,Anvers,Biscoe
23,Gentoo,213,4400,FEMALE,N42A1,Anvers,Biscoe
25,Gentoo,215,5000,FEMALE,N44A1,Anvers,Biscoe
29,Gentoo,210,4600,FEMALE,N47A1,Anvers,Biscoe
32,Gentoo,209,4700,FEMALE,N50A2,Anvers,Biscoe
33,Gentoo,207,5050,FEMALE,N56A1,Anvers,Biscoe
35,Gentoo,220,5150,FEMALE,N2A1,Anvers,Biscoe
37,Gentoo,213,4950,FEMALE,N4A1,Anvers,Biscoe
39,Gentoo,208,4350,FEMALE,N5A1,Anvers,Biscoe
41,Gentoo,208,3950,FEMALE,N6A1,Anvers,Biscoe
43,Gentoo,210,4300,FEMALE,N7A1,Anvers,Biscoe
46,Gentoo,217,4900,FEMALE,N8A2,Anvers,Biscoe
47,Gentoo,210,4200,FEMALE,N11A1,Anvers,Biscoe
49,Gentoo,213,5100,FEMALE,N12A1,Anvers,Biscoe
51,Gentoo,210,4850,FEMALE,N13A1,Anvers,Biscoe
53,Gentoo,210,4400,FEMALE,N14A1,Anvers,Biscoe
55,Gentoo,217,4900,FEMALE,N15A1,Anvers,Biscoe
57,Gentoo,208,4300,FEMALE,N16A1,Anvers,Biscoe
59,Gentoo,208,4450,FEMALE,N17A1,Anvers,Biscoe
61,Gentoo,208,4200,FEMALE,N18A1,Anvers,Biscoe
63,Gentoo,214,4400,FEMALE,N19A1,Anvers,Biscoe
65,Gentoo,219,4700,FEMALE,N20A1,Anvers,Biscoe
69,Gentoo,220,4700,FEMALE,N53A1,Anvers,Biscoe
71,Gentoo,216,4750,FEMALE,N54A1,Anvers,Biscoe
74,Gentoo,217,5200,FEMALE,N55A2,Anvers,Biscoe
75,Gentoo,216,4700,FEMALE,N56A1,Anvers,Biscoe
77,Gentoo,209,4600,FEMALE,N58A1,Anvers,Biscoe
79,Gentoo,215,4750,FEMALE,N60A1,Anvers,Biscoe
81,Gentoo,212,4625,FEMALE,N1A1,Anvers,Biscoe
83,Gentoo,212,4725,FEMALE,N6A1,Anvers,Biscoe
85,Gentoo,212,4750,FEMALE,N8A1,Anvers,Biscoe
87,Gentoo,218,4600,FEMALE,N13A1,Anvers,Biscoe
89,Gentoo,212,4875,FEMALE,N14A1,Anvers,Biscoe
91,Gentoo,218,4950,FEMALE,N15A1,Anvers,Biscoe
93,Gentoo,212,4750,FEMALE,N18A1,Anvers,Biscoe
95,Gentoo,214,4850,FEMALE,N19A1,Anvers,Biscoe
98,Gentoo,222,4875,FEMALE,N20A2,Anvers,Biscoe
99,Gentoo,203,4625,FEMALE,N21A1,Anvers,Biscoe
101,Gentoo,219,4850,FEMALE,N22A1,Anvers,Biscoe
103,Gentoo,215,4975,FEMALE,N23A1,Anvers,Biscoe
107,Gentoo,210,4700,FEMALE,N28A1,Anvers,Biscoe
109,Gentoo,208,4575,FEMALE,N29A1,Anvers,Biscoe
111,Gentoo,216,5000,FEMALE,N32A1,Anvers,Biscoe
113,Gentoo,213,4650,FEMALE,N34A1,Anvers,Biscoe
115,Gentoo,217,4375,FEMALE,N35A1,Anvers,Biscoe
119,Gentoo,214,4925,FEMALE,N38A1,Anvers,Biscoe
120,Gentoo,214,4925,FEMALE,N38A2,Anvers,Biscoe
121,Gentoo,215,4850,FEMALE,N39A1,Anvers,Biscoe
123,Gentoo,212,5200,FEMALE,N43A1,Anvers,Biscoe
2,Gentoo,230,5700,MALE,N31A2,Anvers,Biscoe
4,Gentoo,218,5700,MALE,N32A2,Anvers,Biscoe
5,Gentoo,215,5400,MALE,N33A1,Anvers,Biscoe
8,Gentoo,219,5200,MALE,N34A2,Anvers,Biscoe
10,Gentoo,215,5150,MALE,N35A2,Anvers,Biscoe
12,Gentoo,216,5550,MALE,N36A2,Anvers,Biscoe
14,Gentoo,213,5850,MALE,N37A2,Anvers,Biscoe
16,Gentoo,217,5850,MALE,N38A2,Anvers,Biscoe
18,Gentoo,221,6300,MALE,N39A2,Anvers,Biscoe
20,Gentoo,222,5350,MALE,N40A2,Anvers,Biscoe
21,Gentoo,218,5700,MALE,N41A1,Anvers,Biscoe
24,Gentoo,215,5050,MALE,N42A2,Anvers,Biscoe
26,Gentoo,215,5100,MALE,N44A2,Anvers,Biscoe
27,Gentoo,216,4100,MALE,N46A1,Anvers,Biscoe
28,Gentoo,215,5650,MALE,N46A2,Anvers,Biscoe
30,Gentoo,220,5550,MALE,N47A2,Anvers,Biscoe
31,Gentoo,222,5250,MALE,N50A1,Anvers,Biscoe
34,Gentoo,230,6050,MALE,N56A2,Anvers,Biscoe
36,Gentoo,220,5400,MALE,N2A2,Anvers,Biscoe
38,Gentoo,219,5250,MALE,N4A2,Anvers,Biscoe
40,Gentoo,208,5350,MALE,N5A2,Anvers,Biscoe
42,Gentoo,225,5700,MALE,N6A2,Anvers,Biscoe
44,Gentoo,216,4750,MALE,N7A2,Anvers,Biscoe
45,Gentoo,222,5550,MALE,N8A1,Anvers,Biscoe
48,Gentoo,225,5400,MALE,N11A2,Anvers,Biscoe
50,Gentoo,215,5300,MALE,N12A2,Anvers,Biscoe
52,Gentoo,220,5300,MALE,N13A2,Anvers,Biscoe
54,Gentoo,225,5000,MALE,N14A2,Anvers,Biscoe
56,Gentoo,220,5050,MALE,N15A2,Anvers,Biscoe
58,Gentoo,220,5000,MALE,N16A2,Anvers,Biscoe
60,Gentoo,224,5550,MALE,N17A2,Anvers,Biscoe
62,Gentoo,221,5300,MALE,N18A2,Anvers,Biscoe
64,Gentoo,231,5650,MALE,N19A2,Anvers,Biscoe
66,Gentoo,230,5700,MALE,N20A2,Anvers,Biscoe
67,Gentoo,214,4650,MALE,N51A1,Anvers,Biscoe
68,Gentoo,229,5800,MALE,N51A2,Anvers,Biscoe
70,Gentoo,223,5550,MALE,N53A2,Anvers,Biscoe
72,Gentoo,221,5000,MALE,N54A2,Anvers,Biscoe
73,Gentoo,221,5100,MALE,N55A1,Anvers,Biscoe
76,Gentoo,230,5800,MALE,N56A2,Anvers,Biscoe
78,Gentoo,220,6000,MALE,N58A2,Anvers,Biscoe
80,Gentoo,223,5950,MALE,N60A2,Anvers,Biscoe
82,Gentoo,221,5450,MALE,N1A2,Anvers,Biscoe
84,Gentoo,224,5350,MALE,N6A2,Anvers,Biscoe
86,Gentoo,228,5600,MALE,N8A2,Anvers,Biscoe
88,Gentoo,218,5300,MALE,N13A2,Anvers,Biscoe
90,Gentoo,230,5550,MALE,N14A2,Anvers,Biscoe
92,Gentoo,228,5400,MALE,N15A2,Anvers,Biscoe
94,Gentoo,224,5650,MALE,N18A2,Anvers,Biscoe
96,Gentoo,226,5200,MALE,N19A2,Anvers,Biscoe
97,Gentoo,216,4925,MALE,N20A1,Anvers,Biscoe
100,Gentoo,225,5250,MALE,N21A2,Anvers,Biscoe
102,Gentoo,228,5600,MALE,N22A2,Anvers,Biscoe
104,Gentoo,228,5500,MALE,N23A2,Anvers,Biscoe
105,Gentoo,216,4725,MALE,N24A1,Anvers,Biscoe
106,Gentoo,215,5500,MALE,N24A2,Anvers,Biscoe
108,Gentoo,219,5500,MALE,N28A2,Anvers,Biscoe
110,Gentoo,209,5500,MALE,N29A2,Anvers,Biscoe
112,Gentoo,229,5950,MALE,N32A2,Anvers,Biscoe
114,Gentoo,230,5500,MALE,N34A2,Anvers,Biscoe
116,Gentoo,230,5850,MALE,N35A2,Anvers,Biscoe
117,Gentoo,217,4875,MALE,N36A1,Anvers,Biscoe
118,Gentoo,222,6000,MALE,N36A2,Anvers,Biscoe
122,Gentoo,222,5750,MALE,N39A2,Anvers,Biscoe
124,Gentoo,213,5400,MALE,N43A2,Anvers,Biscoe